density	temperature	literature_doi	mol_fraction_water
1.014	303.15	10.1016/j.fluid.2014.01.028	1.0
0.9957	303.15	10.1016/j.fluid.2014.01.028	1.0
1.1827	313.15	10.1016/j.fluid.2014.01.028	0.0
1.1795	313.15	10.1016/j.fluid.2014.01.028	108.0
1.1744	313.15	10.1016/j.fluid.2014.01.028	0.2
1.169	313.15	10.1016/j.fluid.2014.01.028	0.3
1.1653	313.15	10.1016/j.fluid.2014.01.028	0.4
1.1468	313.15	10.1016/j.fluid.2014.01.028	0.6
1.1271	313.15	10.1016/j.fluid.2014.01.028	0.7
1.1072	313.15	10.1016/j.fluid.2014.01.028	0.8
1.0872	313.15	10.1016/j.fluid.2014.01.028	0.9
1.0668	313.15	10.1016/j.fluid.2014.01.028	0.9
1.0476	313.15	10.1016/j.fluid.2014.01.028	0.9
1.0287	313.15	10.1016/j.fluid.2014.01.028	1.0
1.0102	313.15	10.1016/j.fluid.2014.01.028	1.0
0.9922	313.15	10.1016/j.fluid.2014.01.028	1.0
1.177	323.15	10.1016/j.fluid.2014.01.028	0.0
1.1739	323.15	10.1016/j.fluid.2014.01.028	108.0
1.1688	323.15	10.1016/j.fluid.2014.01.028	0.2
1.1634	323.15	10.1016/j.fluid.2014.01.028	0.3
1.1597	323.15	10.1016/j.fluid.2014.01.028	0.4
1.1413	323.15	10.1016/j.fluid.2014.01.028	0.6
1.1216	323.15	10.1016/j.fluid.2014.01.028	0.7
1.1018	323.15	10.1016/j.fluid.2014.01.028	0.8
1.0819	323.15	10.1016/j.fluid.2014.01.028	0.9
1.0617	323.15	10.1016/j.fluid.2014.01.028	0.9
1.0427	323.15	10.1016/j.fluid.2014.01.028	0.9
1.024	323.15	10.1016/j.fluid.2014.01.028	1.0
1.0055	323.15	10.1016/j.fluid.2014.01.028	1.0
0.9881	323.15	10.1016/j.fluid.2014.01.028	1.0
1.1713	333.15	10.1016/j.fluid.2014.01.028	0.0
1.1682	333.15	10.1016/j.fluid.2014.01.028	108.0
1.1631	333.15	10.1016/j.fluid.2014.01.028	0.2
1.1577	333.15	10.1016/j.fluid.2014.01.028	0.3
1.1541	333.15	10.1016/j.fluid.2014.01.028	0.4
1.1357	333.15	10.1016/j.fluid.2014.01.028	0.6
1.1161	333.15	10.1016/j.fluid.2014.01.028	0.7
1.0964	333.15	10.1016/j.fluid.2014.01.028	0.8
1.0767	333.15	10.1016/j.fluid.2014.01.028	0.9
1.0566	333.15	10.1016/j.fluid.2014.01.028	0.9
1.0376	333.15	10.1016/j.fluid.2014.01.028	0.9
1.0191	333.15	10.1016/j.fluid.2014.01.028	1.0
1.0006	333.15	10.1016/j.fluid.2014.01.028	1.0
0.9833	333.15	10.1016/j.fluid.2014.01.028	1.0
1.1648	343.15	10.1016/j.fluid.2014.01.028	0.0
1.1617	343.15	10.1016/j.fluid.2014.01.028	108.0
1.1566	343.15	10.1016/j.fluid.2014.01.028	0.2
1.1513	343.15	10.1016/j.fluid.2014.01.028	0.3
1.1477	343.15	10.1016/j.fluid.2014.01.028	0.4
1.1294	343.15	10.1016/j.fluid.2014.01.028	0.6
1.1099	343.15	10.1016/j.fluid.2014.01.028	0.7
1.0904	343.15	10.1016/j.fluid.2014.01.028	0.8
1.0707	343.15	10.1016/j.fluid.2014.01.028	0.9
1.0507	343.15	10.1016/j.fluid.2014.01.028	0.9
1.0319	343.15	10.1016/j.fluid.2014.01.028	0.9
1.0134	343.15	10.1016/j.fluid.2014.01.028	1.0
0.9951	343.15	10.1016/j.fluid.2014.01.028	1.0
0.9778	343.15	10.1016/j.fluid.2014.01.028	1.0
1.1575	353.15	10.1016/j.fluid.2014.01.028	0.0
1.1545	353.15	10.1016/j.fluid.2014.01.028	108.0
1.1494	353.15	10.1016/j.fluid.2014.01.028	0.2
1.1441	353.15	10.1016/j.fluid.2014.01.028	0.3
1.1406	353.15	10.1016/j.fluid.2014.01.028	0.4
1.1224	353.15	10.1016/j.fluid.2014.01.028	0.6
1.103	353.15	10.1016/j.fluid.2014.01.028	0.7
1.0836	353.15	10.1016/j.fluid.2014.01.028	0.8
1.064	353.15	10.1016/j.fluid.2014.01.028	0.9
1.0441	353.15	10.1016/j.fluid.2014.01.028	0.9
1.0255	353.15	10.1016/j.fluid.2014.01.028	0.9
1.0071	353.15	10.1016/j.fluid.2014.01.028	1.0
0.9889	353.15	10.1016/j.fluid.2014.01.028	1.0
0.9717	353.15	10.1016/j.fluid.2014.01.028	1.0
1.1495	363.15	10.1016/j.fluid.2014.01.028	0.0
1.1465	363.15	10.1016/j.fluid.2014.01.028	108.0
1.1414	363.15	10.1016/j.fluid.2014.01.028	0.2
1.1362	363.15	10.1016/j.fluid.2014.01.028	0.3
1.1327	363.15	10.1016/j.fluid.2014.01.028	0.4
1.1146	363.15	10.1016/j.fluid.2014.01.028	0.6
1.0954	363.15	10.1016/j.fluid.2014.01.028	0.7
1.0761	363.15	10.1016/j.fluid.2014.01.028	0.8
1.0567	363.15	10.1016/j.fluid.2014.01.028	0.9
1.0369	363.15	10.1016/j.fluid.2014.01.028	0.9
1.0183	363.15	10.1016/j.fluid.2014.01.028	0.9
1.0001	363.15	10.1016/j.fluid.2014.01.028	1.0
982.0	363.15	10.1016/j.fluid.2014.01.028	1.0
965.0	363.15	10.1016/j.fluid.2014.01.028	1.0
0.99707	298.15	10.1016/j.jtice.2012.01.007	1.0
1.07409	298.15	10.1016/j.jtice.2012.01.007	0.9
1.10675	298.15	10.1016/j.jtice.2012.01.007	825.0
1.13924	298.15	10.1016/j.jtice.2012.01.007	0.7
1.15507	298.15	10.1016/j.jtice.2012.01.007	0.6
1.16611	298.15	10.1016/j.jtice.2012.01.007	0.5
1.174	298.15	10.1016/j.jtice.2012.01.007	0.4
1.17985	298.15	10.1016/j.jtice.2012.01.007	0.7
1.18468	298.15	10.1016/j.jtice.2012.01.007	0.2
1.18829	298.15	10.1016/j.jtice.2012.01.007	0.1
1.19123	298.15	10.1016/j.jtice.2012.01.007	0.0
0.99568	303.15	10.1016/j.jtice.2012.01.007	1.0
1.07188	303.15	10.1016/j.jtice.2012.01.007	0.9
1.10429	303.15	10.1016/j.jtice.2012.01.007	825.0
1.1366	303.15	10.1016/j.jtice.2012.01.007	0.7
1.15248	303.15	10.1016/j.jtice.2012.01.007	0.6
1.16339	303.15	10.1016/j.jtice.2012.01.007	0.5
1.17127	303.15	10.1016/j.jtice.2012.01.007	0.4
1.1771	303.15	10.1016/j.jtice.2012.01.007	0.7
1.18192	303.15	10.1016/j.jtice.2012.01.007	0.2
1.18555	303.15	10.1016/j.jtice.2012.01.007	0.1
1.1885	303.15	10.1016/j.jtice.2012.01.007	0.0
0.99407	308.15	10.1016/j.jtice.2012.01.007	1.0
1.06959	308.15	10.1016/j.jtice.2012.01.007	0.9
1.10177	308.15	10.1016/j.jtice.2012.01.007	825.0
1.13394	308.15	10.1016/j.jtice.2012.01.007	0.7
1.14978	303.15	10.1016/j.jtice.2012.01.007	0.6
1.16066	308.15	10.1016/j.jtice.2012.01.007	0.5
1.16852	308.15	10.1016/j.jtice.2012.01.007	0.4
1.17435	308.15	10.1016/j.jtice.2012.01.007	0.7
1.17916	308.15	10.1016/j.jtice.2012.01.007	0.2
1.18279	308.15	10.1016/j.jtice.2012.01.007	0.1
1.18574	308.15	10.1016/j.jtice.2012.01.007	0.0
0.99226	313.15	10.1016/j.jtice.2012.01.007	1.0
1.0672	313.15	10.1016/j.jtice.2012.01.007	0.9
1.09919	313.15	10.1016/j.jtice.2012.01.007	825.0
1.13124	313.15	10.1016/j.jtice.2012.01.007	0.7
1.14704	313.15	10.1016/j.jtice.2012.01.007	0.6
1.15791	313.15	10.1016/j.jtice.2012.01.007	0.5
1.16576	313.15	10.1016/j.jtice.2012.01.007	0.4
1.17158	313.15	10.1016/j.jtice.2012.01.007	0.7
1.17639	313.15	10.1016/j.jtice.2012.01.007	0.2
1.18002	313.15	10.1016/j.jtice.2012.01.007	0.1
1.1823	313.15	10.1016/j.jtice.2012.01.007	0.0
